Month,SalesVol,TVGrP,InstoreAds,OutdoorAds,Promotion,DigitalAds,Price,Comp1TV,Comp1NPapers,Comp1OOH,Comp2NP
01-01-2012,6861.00,252.22,0.00,391876.00,0.00,0.00,150.00,8.00,0.00,0.00,0.00
01-02-2012,6196.00,689.04,0.00,391876.00,0.00,917.00,153.00,12.00,0.00,0.00,0.00
01-03-2012,7519.00,798.02,309960.00,6317682.25,0.00,1191.00,152.00,17.00,6636000.00,0.00,13272000.00
01-04-2012,8498.00,922.71,309960.00,6292572.25,34853.00,1597.00,149.00,17.00,0.00,0.00,6636000.00
01-05-2012,8721.00,445.67,309960.00,6290064.00,198664.00,1853.00,150.00,17.00,0.00,0.00,6636000.00
01-06-2012,6764.00,310.35,0.00,842724.00,0.00,1904.00,152.00,21.00,0.00,1.00,0.00
01-07-2012,6538.00,658.80,309960.00,8608356.00,76327.00,1919.00,155.00,21.00,0.00,1.00,6836000.00
01-08-2012,6808.00,614.21,309960.00,9821956.00,973811.00,2266.00,153.00,20.00,0.00,0.00,0.00
01-09-2012,6292.00,388.93,0.00,9815689.00,1032480.00,2370.00,153.00,19.00,0.00,0.00,0.00
01-10-2012,6973.00,950.53,0.00,10055241.00,3288544.00,2401.00,154.00,20.00,14536000.00,0.00,13288000.00
01-11-2012,8132.00,972.96,336960.00,11444689.00,18087951.00,2472.00,153.00,22.00,0.00,0.00,38508000.00
01-12-2012,8857.00,1070.02,3432317.00,7789681.00,10646798.00,2574.00,151.00,12.00,0.00,0.00,15825000.00
01-01-2013,8939.00,1620.45,3412067.00,11404129.00,2776414.00,2669.00,154.00,5.00,0.00,0.00,0.00
01-02-2013,7863.00,495.44,3412067.00,11400752.25,0.00,2461.00,154.00,11.00,0.00,0.00,1000.00
01-03-2013,9506.00,1296.65,2912067.00,12425625.00,4900000.00,2159.00,153.00,18.00,0.00,0.00,6840000.00
01-04-2013,10338.00,648.81,2912067.00,16662724.00,5715857.00,2599.00,151.00,18.00,0.00,0.00,0.00
01-05-2013,10094.00,643.83,412067.00,12425625.00,20145571.00,2820.00,152.00,17.00,0.00,0.00,0.00
01-06-2013,8523.00,694.12,412067.00,7043716.00,0.00,2597.00,154.00,7.00,0.00,0.00,28600000.00
01-07-2013,8283.00,570.58,412067.00,5953600.00,2801332.00,2530.00,155.00,3.00,0.00,0.00,28350000.00
01-08-2013,8210.00,463.58,412067.00,5953600.00,3517289.00,2419.00,156.00,1.00,0.00,0.00,6840000.00
01-09-2013,7656.00,406.14,412067.00,5953600.00,0.00,1857.00,156.00,6.00,0.00,0.00,6840000.00
01-10-2013,8167.00,740.34,2912067.00,8755681.00,2972895.00,1956.00,156.00,13.00,0.00,0.00,0.00
01-11-2013,8326.00,481.71,2912067.00,8564402.25,2889982.00,2398.00,155.00,15.00,0.00,0.00,0.00
